label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir,gyro_x_fir,gyro_y_fir,gyro_z_fir
ChestPress,,,42.47368621826172,-79.57601928710938,994.1854248046875,2954.631103515625,-885.3958129882812,3934.5751953125
ChestPress,,,55.78194046020508,-79.27003479003906,978.2427368164062,3274.853515625,-630.3143310546875,4146.0654296875
ChestPress,,,70.72793579101562,-70.1729736328125,969.3948364257812,3491.104248046875,-173.9376220703125,4355.35498046875
ChestPress,,,80.0773696899414,-60.772674560546875,966.0479125976562,3519.47021484375,414.8735046386719,4617.98681640625
ChestPress,,,79.78177642822266,-60.015235900878906,964.0987548828125,3387.570068359375,1029.67333984375,4934.4287109375
ChestPress,,,69.09506225585938,-70.16522216796875,960.8687744140625,3197.340576171875,1566.6595458984375,5260.0751953125
ChestPress,,,50.17070770263672,-85.6246337890625,956.5895385742188,3059.63134765625,1942.8585205078125,5535.28466796875
ChestPress,,,26.521512985229492,-97.77521514892578,952.6810913085938,3034.468017578125,2096.6103515625,5726.2001953125
ChestPress,,,1.3582699298858643,-101.5066146850586,949.36474609375,3120.95263671875,1995.2572021484375,5845.171875
ChestPress,,,-23.249544143676758,-99.00887298583984,946.2586669921875,3282.187255859375,1633.275634765625,5938.455078125
ChestPress,,,-44.90251541137695,-97.28972625732422,943.9340209960938,3505.012939453125,1031.8057861328125,6024.78564453125
ChestPress,,,-58.6900634765625,-100.88358306884766,944.3408813476562,3806.771240234375,261.2068786621094,6088.06103515625
ChestPress,,,-58.57847595214844,-106.98052978515625,948.41015625,4180.8916015625,-554.0083618164062,6090.83056640625
ChestPress,,,-41.788944244384766,-106.87566375732422,953.80810546875,4576.02880859375,-1253.989501953125,6018.18408203125
ChestPress,,,-12.90263843536377,-91.70674896240234,956.5723266601562,4911.36376953125,-1699.812255859375,5878.44091796875
ChestPress,,,18.54583740234375,-57.71823501586914,954.154541015625,5127.419921875,-1820.3173828125,5683.0634765625
ChestPress,,,43.96974563598633,-8.655534744262695,946.9773559570312,5184.95263671875,-1631.771484375,5453.1318359375
ChestPress,,,59.2874870300293,44.99538803100586,936.9061889648438,5071.99951171875,-1232.9649658203125,5213.75830078125
ChestPress,,,65.2227783203125,90.27142333984375,925.1777954101562,4816.07470703125,-767.5831298828125,5010.45068359375
ChestPress,,,64.6371078491211,117.80533599853516,912.030517578125,4495.3984375,-376.3970947265625,4888.52685546875
ChestPress,,,59.463539123535156,125.88349151611328,898.9114990234375,4222.548828125,-150.73683166503906,4876.82470703125
ChestPress,,,49.26729965209961,120.2357406616211,888.9661865234375,4076.364501953125,-115.93045806884766,4967.6640625
ChestPress,,,34.42093276977539,109.90570068359375,884.5477905273438,4076.3779296875,-226.92701721191406,5100.63623046875
ChestPress,,,19.005578994750977,102.93717193603516,885.2088623046875,4186.6181640625,-384.318603515625,5189.521484375
ChestPress,,,8.361320495605469,103.80628204345703,887.8115234375,4334.740234375,-469.3571472167969,5176.7802734375
ChestPress,,,4.994339942932129,112.8377914428711,889.291748046875,4456.0732421875,-401.31689453125,5062.1044921875
ChestPress,,,7.337975978851318,128.27696228027344,887.8925170898438,4516.8212890625,-188.5797119140625,4887.220703125
ChestPress,,,13.144943237304688,148.5153350830078,882.4208374023438,4531.2470703125,78.39832305908203,4683.7099609375
ChestPress,,,20.778766632080078,172.52798461914062,872.0482177734375,4527.3154296875,281.04193115234375,4472.5078125
ChestPress,,,28.314067840576172,197.91160583496094,856.2069702148438,4514.1962890625,344.6034851074219,4262.0556640625
ChestPress,,,34.433494567871094,221.4951629638672,836.5707397460938,4531.42138671875,272.2947082519531,4054.579833984375
ChestPress,,,39.102779388427734,243.642578125,818.9158935546875,4619.88427734375,120.7032699584961,3856.406494140625
ChestPress,,,43.305625915527344,268.2261657714844,810.1495361328125,4752.70263671875,-39.59467315673828,3679.05517578125
ChestPress,,,47.50147247314453,296.9495544433594,813.0084228515625,4805.22607421875,-150.5929412841797,3553.22216796875
ChestPress,,,51.39916229248047,324.8809509277344,822.4783935546875,4640.0390625,-173.50338745117188,3496.69189453125
ChestPress,,,55.04427719116211,343.6616516113281,829.4973754882812,4246.140625,-84.30652618408203,3502.493896484375
ChestPress,,,57.536155700683594,349.0590515136719,828.93212890625,3746.9072265625,118.8216552734375,3530.894287109375
ChestPress,,,56.3450813293457,343.9326477050781,822.5193481445312,3302.38525390625,414.66131591796875,3533.05078125
ChestPress,,,48.236228942871094,335.888916015625,816.1676025390625,3024.46826171875,742.6061401367188,3476.425048828125
ChestPress,,,32.152225494384766,333.36871337890625,813.822509765625,2930.328369140625,1013.5784912109375,3344.247802734375
ChestPress,,,12.97669506072998,342.1537170410156,815.044921875,2986.38232421875,1149.998046875,3129.1376953125
ChestPress,,,-1.549444317817688,363.7136535644531,817.56591796875,3123.853271484375,1132.5736083984375,2851.328857421875
ChestPress,,,-6.025545597076416,394.84893798828125,820.2899169921875,3264.29052734375,1006.3945922851562,2571.9306640625
ChestPress,,,-0.79278564453125,429.3701477050781,824.158447265625,3329.259521484375,842.3997802734375,2360.603271484375
ChestPress,,,10.1227445602417,461.0451354980469,828.8323364257812,3246.919189453125,708.7691650390625,2259.391357421875
